title,genres,release_date,runtime,budget,revenue,director,popularity,vote_average,vote_count,overview
Terrifier 3,"['Horror', 'Thriller', 'Mystery']",2024-10-09,125,2000000,59156753,Brad Miska,6883.159,7.3,601,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe."
Venom: The Last Dance,"['Science Fiction', 'Action', 'Adventure']",2024-10-22,109,120000000,310000000,David Michelinie,5590.757,6.696,479,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance."
The Wild Robot,"['Animation', 'Science Fiction', 'Family']",2024-09-12,102,78000000,269785520,Dean DeBlois,4321.421,8.546,2392,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
The Substance,"['Drama', 'Horror', 'Science Fiction']",2024-09-07,141,17500000,42776354,Anne Juin,2881.789,7.319,1384,"Have you ever dreamt of a better version of yourself? You, only better in every way. You should try this new product, it's called The Substance. IT CHANGED MY LIFE."
Joker: Folie à Deux,"['Drama', 'Crime', 'Thriller']",2024-10-01,138,195000000,200714058,Bill Finger,2614.505,5.682,1350,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him."
Transformers One,"['Animation', 'Science Fiction', 'Adventure', 'Family']",2024-09-11,104,75000000,124530200,Rob Coleman,2550.704,8.169,534,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever."
The Count of Monte-Cristo,"['Adventure', 'History', 'Action', 'Drama', 'Romance', 'Thriller']",2024-06-28,178,46700000,73924182,Chloé Van Lierde,2126.371,8.335,735,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him."
Alien: Romulus,"['Science Fiction', 'Horror']",2024-08-13,119,80000000,350752564,Fede Álvarez,1992.724,7.267,2132,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe."
Venom,"['Science Fiction', 'Action']",2018-09-28,112,116000000,856085151,Monique Ganderton,1917.653,6.835,15881,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own."
Deadpool & Wolverine,"['Action', 'Comedy', 'Science Fiction']",2024-07-24,128,200000000,1336816112,Shawn Levy,1885.377,7.706,5032,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine."
Arcadian,"['Action', 'Horror', 'Thriller', 'Science Fiction']",2024-04-12,92,0,859453,Michael Nilon,1844.021,6.036,384,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive."
Inside Out 2,"['Animation', 'Family', 'Adventure', 'Comedy', 'Drama']",2024-06-11,97,200000000,1682636477,Kelsey Mann,1676.036,7.61,4592,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone."
Venom: Let There Be Carnage,"['Science Fiction', 'Action', 'Adventure']",2021-09-30,97,110000000,506863592,Kelly Marcel,1488.305,6.799,10105,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady."
Canary Black,"['Action', 'Thriller', 'Crime']",2024-10-10,103,0,525704,Pierre Morel,1301.295,6.4,173,"Top level CIA agent Avery Graves is blackmailed by terrorists into betraying her own country to save her kidnapped husband. Cut off from her team, she turns to her underworld contacts to survive and help locate the coveted intelligence that the kidnappers want."
Terrifier,"['Horror', 'Thriller']",2018-01-25,85,35000,416322,Matheus Gassen,1298.546,6.4,2347,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.
Survive,"['Thriller', 'Adventure', 'Action', 'Science Fiction']",2024-06-19,90,5270000,0,Pierre Quefféléan,1262.118,5.1,37,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.
Despicable Me 4,"['Animation', 'Family', 'Comedy', 'Action']",2024-06-20,94,100000000,953140610,Patrick Delage,1225.064,7.1,2109,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run."
Coco,"['Family', 'Animation', 'Music', 'Adventure']",2017-10-27,105,175000000,807816196,Seong-Young Kim,1121.64,8.2,19389,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history."
Azrael,"['Action', 'Horror', 'Thriller']",2024-09-27,86,12000000,631272,E.L. Katz,1063.12,6.1,115,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness."
Terrifier 2,"['Horror', 'Thriller']",2022-10-06,138,250000,15740003,Lisa Falcone,1060.271,6.8,1951,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent."
Heavenly Touch,"['Drama', 'Romance']",2009-05-12,89,0,0,Joel Lamangan,1028.191,6.3,21,"Jonard is having trouble making ends meet. His mother is suffering from depression, and he and his sister are forced to quit school in order to take care of her. One day, Jonard meets up his friend Rodel, and Rodel introduces him to the world of massage parlors. Rodel teaches him massage, and brings him to Heavenly Touch, a syndicate-run massage parlor that mostly caters to homosexuals."
Don't Move,"['Horror', 'Thriller']",2024-10-24,92,0,0,Zainab Azizi,1014.001,6.5,363,"A grieving woman in a secluded forest encounters a killer who injects her with a paralytic drug. As her body shuts down, her fight for survival begins."
Beetlejuice Beetlejuice,"['Comedy', 'Fantasy', 'Horror']",2024-09-04,105,100000000,445300598,Danny Elfman,976.081,7.152,1705,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife."
Sing: Thriller,"['Animation', 'Family', 'Comedy', 'Horror']",2024-10-16,11,0,0,Garth Jennings,791.279,7.373,71,"Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films."
Terrifier,['Horror'],2011-08-09,19,0,0,Damien Leone,749.428,6.274,179,"After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity."
The Silent Hour,"['Crime', 'Thriller', 'Action']",2024-10-03,95,0,0,Eric Paquette,741.265,6.347,49,"While working a case as an interpreter, a hearing-impaired police detective must confront a group of criminals trying to eliminate a deaf murder witness in her apartment building."
The Platform 2,"['Science Fiction', 'Horror']",2024-09-27,100,0,0,Galder Gaztelu-Urrutia,732.488,5.652,781,"After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method."
Bagman,"['Horror', 'Thriller']",2024-09-20,92,0,0,Colm McCarthy,722.15,6.6,51,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake."
My Hero Academia: You're Next,"['Animation', 'Action', 'Adventure', 'Science Fiction']",2024-08-02,110,0,30568047,Yosuke Kuroda,719.943,6.8,43,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends..."
Corpse Bride,"['Romance', 'Fantasy', 'Animation']",2005-09-12,77,40000000,118133252,Tim Burton,718.341,7.58,9222,"In a 19th-century European village, a young man about to be married is whisked away to the underworld and wed to a mysterious corpse bride, while his real bride waits bereft in the land of the living."
Brothers,"['Action', 'Comedy', 'Crime']",2024-10-10,88,0,0,David Ginsberg,718.142,6.269,145,"A reformed criminal's attempt at going straight is derailed when he reunites with his sanity-testing twin brother on a road trip for the score of a lifetime. Dodging bullets, the law, and an overbearing mother along the way, they must heal their severed family bond before they end up killing each other."
Invasion,"['Action', 'Drama', 'Thriller']",2024-04-11,0,0,0,Errol Nayci,703.683,4.9,9,"When neighboring country Veragua suddenly attacks Curaçao and Aruba, the Dutch government is taken completely by surprise. The conflict escalates rapidly. Three young Navy recruits must figure out what is the right thing to do."
Smile 2,"['Horror', 'Mystery']",2024-10-16,127,28000000,109787540,Parker Finn,677.012,6.863,270,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control."
All Hallows' Eve,['Horror'],2013-10-29,82,0,0,Damien Leone,642.315,5.7,492,"While watching two children on Halloween night, a babysitter finds an old VHS tape in the kids' trick or treat bag. The tape features three tales of terror, all linked together by a murderous clown."
It Ends with Us,"['Romance', 'Drama']",2024-08-07,131,25000000,348276888,Justin Baldoni,638.752,7.2,971,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future."
The Crow,"['Action', 'Fantasy', 'Horror']",2024-08-21,111,50000000,13690814,Rupert Sanders,624.165,5.853,715,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right."
Bad Boys: Ride or Die,"['Action', 'Comedy']",2024-06-05,115,100000000,402529640,Chad Oman,621.905,7.493,2292,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves."
Transmorphers: Mech Beasts,"['Action', 'Science Fiction']",2023-06-09,84,0,65452,Andrew Fernie,580.71,5.448,29,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet."
Flow,"['Animation', 'Fantasy', 'Adventure']",2024-08-30,84,0,0,Matīss Kaža,556.949,8.7,164,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together."
The Last Stop in Yuma County,"['Crime', 'Thriller']",2024-05-10,91,0,94344,Karli Watland,527.099,7.1,117,"While awaiting the next fuel truck at a middle-of-nowhere Arizona rest stop, a traveling young knife salesman is thrust into a high-stakes hostage situation by the arrival of two similarly stranded bank robbers with no qualms about using cruelty—or cold, hard steel—to protect their bloodstained, ill-gotten fortune."
Diabolik - Who Are You?,"['Crime', 'Action']",2023-11-30,124,0,0,Antonio Manetti,517.931,6.3,96,"Captured by a ruthless gang of bank robbers, foes Diabolik and Ginko find themselves facing certain death. While Eva Kant and Altea forge an unlikely alliance to rescue their lovers, Diabolik reveals his mysterious past to the Inspector."
Apocalypse Z: The Beginning of the End,"['Drama', 'Action', 'Horror']",2024-10-04,119,0,0,Manel Loureiro,513.814,6.6,164,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers."
SpongeBob Squarepants: Kreepaway Kamp,"['TV Movie', 'Family', 'Comedy', 'Horror', 'Animation']",2024-10-10,45,0,0,Ian Vasquez,501.765,7.116,43,"While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!"
Trap,"['Thriller', 'Crime', 'Horror', 'Comedy']",2024-07-31,105,30000000,82406909,Ashwin Rajan,499.424,6.5,1538,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event."
Project Silence,"['Action', 'Thriller', 'Horror', 'Science Fiction']",2024-07-11,96,14750000,0,Park Joo-suk,496.467,7.0,208,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks."
Double Blind,"['Science Fiction', 'Horror', 'Thriller']",2024-02-09,90,0,0,Ian Hunt Duffy,494.234,5.7,66,"After an experimental drug trial goes awry, the test subjects face a terrifying side effect: if you fall asleep you die. Trapped in an isolated facility, panic ensues as they try to escape and somehow stay awake."
Red One,"['Comedy', 'Action', 'Fantasy']",2024-10-31,124,250000000,0,Riley Flanagan,477.352,8.4,4,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous bounty hunter in a globe-trotting, action-packed mission to save Christmas."
Kelas Bintang - Hot Moms,"['Drama', 'Romance']",2023-02-09,0,0,0,,476.356,7.0,4,
Time Cut,"['Horror', 'Science Fiction', 'Thriller']",2024-10-29,90,0,0,Matt Kaplan,465.133,5.8,159,"A teen in 2024 accidentally time-travels to 2003, days before a masked killer murders her sister. Can she change the past without destroying the future?"
Winnie-the-Pooh: Blood and Honey 2,"['Horror', 'Thriller']",2024-03-26,93,415000,7582541,Matt Leslie,464.854,6.198,262,"Five months following the murders, Christopher Robin struggles to maintain a regular life while dealing with PTSD. However, deep within the 100-Acre-Wood, a destructive rage grows as Pooh, Piglet, Owl, and Tigger find their home and their lives endangered after their existence is revealed."
Hellboy: The Crooked Man,"['Fantasy', 'Horror', 'Action']",2024-08-29,100,0,1289658,Brian Taylor,459.1,5.4,245,"Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man."
My Fault,"['Romance', 'Drama']",2023-06-08,117,0,0,Domingo González,451.755,7.916,3022,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning."
Wish,"['Animation', 'Family', 'Fantasy', 'Adventure']",2023-11-13,95,175000000,254997360,Benjamin Rice,446.929,6.357,1429,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen."
Big City Greens the Movie: Spacecation,"['Animation', 'Family', 'Comedy', 'Music', 'TV Movie']",2024-06-06,82,0,0,Stephen Sandoval,446.604,8.2,16,"When thrill-seeker Cricket tricks his family into taking a ""road trip"" in space, chaos in the cosmos quickly ensues. Despite growing frustrations between Cricket and his dad, Bill, the two must learn to appreciate each other's unique perspectives in order to prevent Big City from being destroyed by an interstellar disaster."
Good Mother 3,['Romance'],2019-08-26,70,0,0,So Young-hwan,445.285,5.7,15,"Sun-young and Jun-young are living together. However, they have been unable to pay the rent for several months and listen to the pinzan from the landlord. Eventually, after worrying, he goes to Jun-young's father's house and asks for help. But there, the father's new lover, Ji-young, greets them. Sun-young and Jun-young are unable to borrow money and live in the house for the time being. But after that day. Jun-young's father Dae-woong's eyes keep seeing Sun-young's short mini skirt. Ji-young is interested in Jun-young, who is young and manly…"
Do Not Enter,['Horror'],2024-08-06,80,550000,0,Hugo Cardozo,432.69,7.5,32,"Two working class youtubers ‘in the making’ enter an abandoned mansion to get their basketball back, and get lost inside while pranking each other. They record their ‘quick adventure’ with their phones for their audience, and tweak it with a fake phantom appearance to attract more followers to their YouTube channel. When uploaded the video goes viral, so they start a challenge: if the video reaches a certain number of views, they will enter the house again, at night, alone, totally unprotected. As fans react positively, they will do as promised, not only to discover and unveil the true nature of the place and their inhabitants, but to realize they might not be among the living anymore. Which opens a question - how far would you go to be famous?"
Terrifier 4,"['Horror', 'Thriller']",,0,0,0,Damien Leone,431.229,0.0,0,Plot TBA. The fourth installment in the Terrifier franchise.
Rippy,"['Horror', 'Mystery']",2024-10-25,83,0,0,Ryan Coonan,417.807,4.5,16,"Young police officer Maddy is determined to live up to her deceased father's legacy. Her courage is put to the test when locals are found brutally ripped to shreds by the zombie kangaroo. As the undead beast leaves a trail of carnage, Maddy, with the help of her eccentric Uncle Schmitty and resilient Aunt Donna, must embark on a high-stakes battle to save the town."
Pleasure,['Drama'],2021-10-08,108,1800000,393824,Lukas Grundberg,416.976,6.2,539,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined."
Operation Black Ops,"['Action', 'Thriller']",2023-07-11,80,0,0,Jamaal Burden,415.78,5.71,31,"A group of mercenaries are hired to overthrow a Neo-Nazi stronghold nestled deep in the heart of Texas, only to discover they are protecting nuclear codes that could ignite World War III."
Kung Fu Panda 4,"['Animation', 'Family', 'Fantasy', 'Action']",2024-03-02,94,80000000,543900620,Christopher Knights,413.496,7.091,2662,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past."
Hijack 1971,"['Action', 'Thriller', 'Crime']",2024-06-21,100,0,14,Kim Byung-han,411.968,6.1,68,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos."
Never Let Go,"['Horror', 'Drama']",2024-09-18,101,20000000,13111608,Shawn Levy,399.565,6.163,169,"As an evil takes over the world beyond their front doorstep, the only protection for a mother and her twin sons is their house and their family’s protective bond."
The Bad Guys: Haunted Heist,"['Animation', 'Comedy']",2024-10-02,25,0,0,Aaron Blabey,398.095,7.3,75,The crafty Bad Guys crew embarks on a high-stakes Halloween heist to swipe a priceless amulet from a spooky mansion. What could go wrong?
Blood for Dust,"['Action', 'Crime', 'Thriller']",2024-04-19,98,0,0,David Ebeltoft,390.025,5.8,45,"Reckless Ricky makes serious money dealing illegal weapons throughout the tri-state area and loves to flaunt it. Traveling salesman Cliff, covers the same territory Ricky runs guns through. Desperate to find some financial relief for his struggling family, Cliff agrees to partner with Ricky, to commit cross-state drug and gun deliveries for a mid-level American cartel boss John. When a simple exchange turns into a bloodbath after Ricky kills everyone in a territory grab, the pair find themselves in a pressure cooker situation where unlikely drug dealer Cliff must fight as hard as he can to stay alive."
The Garfield Movie,"['Animation', 'Comedy', 'Family', 'Adventure', 'Action']",2024-04-30,101,60000000,230295748,Andrew A. Kosove,384.115,7.113,1063,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist."
You’re Killing Me,"['Horror', 'Thriller', 'Action']",2023-04-07,95,0,0,Beth Hanna,383.214,5.9,28,"Eden goes to a coveted 'Heaven and Hell' party, hoping to get a letter of recommendation to an elite university from the wealthy parents of her classmate, but the party quickly turns into a fight for her life."
Strange Darling,"['Crime', 'Horror', 'Thriller']",2024-08-22,97,4000000,3504687,JT Mollner,382.742,7.026,189,Nothing is what it seems when a twisted one-night stand spirals into a serial killer’s vicious murder spree.
IF,"['Comedy', 'Fantasy', 'Family']",2024-05-08,104,110000000,186240904,Andrew Form,378.505,7.3,975,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Family Pack,"['Adventure', 'Comedy', 'Fantasy', 'Action']",2024-10-22,95,0,0,David Giordano,375.057,5.748,230,"When an old card game comes to life, a family jumps back in time to a medieval village where they must unmask werewolves to secure their return home."
LEGO Marvel Avengers: Mission Demolition,"['Animation', 'Comedy', 'Science Fiction']",2024-10-17,44,0,0,Ken Cunningham,366.973,6.929,49,"A young, aspiring hero and superhero fan inadvertently unleashes a powerful new villain looking to rid the world of the Avengers."
Smugglers,"['Crime', 'Action']",2023-07-26,129,0,0,Kim Jung-youn,366.059,6.6,45,"During the 1970s, in Kunchon, there were women divers who were able to dive without equipment, including two best friends Choon-ja and Jin-sook, Jin-sook's brother and Hammer. They always collected seafood under water for living. But, as fewer factories started to be built near the beach, the women divers started to have trouble with what they were doing for living. Without any choice, the ship crews decided to join the smuggling business in the water to seek a way for their living. But the smuggling business in their village got too big for Jin-sook's family to handle and the peaceful village was gradually broken."
Kingdom of the Planet of the Apes,"['Science Fiction', 'Adventure', 'Action']",2024-05-08,145,160000000,397366385,Rick Jaffa,361.772,7.111,3136,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike."
Take Cover,"['Action', 'Thriller']",2024-10-04,89,0,0,Ben Jacques,351.632,6.7,38,A burned-out professional sniper finds himself trapped in an all-glass penthouse by a lethal competitor and must find a way to survive and escape with little to no cover between him and the killer.
The Christmas Charade,"['TV Movie', 'Comedy', 'Romance', 'Drama']",2024-10-26,84,0,0,Corey Sevier,350.279,6.7,5,"A cautious librarian raised by home security experts finds herself in a real-life adventure when a blind date mix-up leads her into an undercover FBI operation. Forced to pose as the girlfriend of Special Agent Josh, she helps him track down an art thief targeting the Saint Nicholas Ruby at a Christmas Eve charity ball."
Speak No Evil,"['Horror', 'Thriller']",2024-09-11,110,15000000,75711395,Danny Bensi,347.874,7.327,842,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare."
Borderlands,"['Action', 'Science Fiction', 'Comedy']",2024-08-07,101,115000000,30863794,Kristof Pataricza,347.457,5.859,740,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power."
Uprising,"['Action', 'Drama', 'History']",2024-10-02,126,0,0,Kim Sang-man,343.587,7.256,82,"In the Joseon Dynasty, two friends who grew up together — one the master and one the servant — reunite post-war as enemies on opposing sides."
Gladiator II,"['Action', 'Adventure']",2024-11-13,148,310000000,0,John Mathieson,341.074,0.0,0,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people."
Dominique,"['Action', 'Thriller']",2024-10-11,94,0,0,Michael S. Ojeda,337.723,7.6,23,"Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in."
"The Tunnel to Summer, the Exit of Goodbyes","['Animation', 'Drama', 'Romance', 'Fantasy']",2022-09-09,83,0,872000,KUKKA,336.47,7.7,165,"Urashima Tunnel – Once you enter that tunnel, you can get whatever you want, but at a price. Kaoru Tohno, who seems to have an elusive personality and traumatic past, and Anzu Hanashiro, who is struggling to reconcile her ideal image and true-to-heart attitude, team up to investigate the Urashima Tunnel and get what they want. This is an unforgettable summer story of nostalgia and sprinting in a remote countryside."
The Inseparables,"['Animation', 'Adventure', 'Comedy', 'Family']",2023-09-01,90,0,311198,Cal Brunker,332.185,6.5,34,"The animated buddy movie follows the misadventures of Don, a runaway puppet with boundless imaginations, and DJ Doggy Dog, an abandoned plush looking for a friend, who cross paths in Central Park and team up against all odds for a epic friendship adventure in New York."
Hocus Pocus,"['Fantasy', 'Comedy', 'Family']",1993-07-16,96,28000000,51663767,Kenny Ortega,331.764,7.041,2998,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it is up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all."
The Killer's Game,"['Action', 'Comedy', 'Crime']",2024-09-12,104,30000000,5090881,Nikki Segal,327.759,6.426,88,"When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late."
The Nightmare Before Christmas,"['Fantasy', 'Animation', 'Family']",1993-10-09,76,18000000,75634409,Michael McDowell,325.729,7.8,9458,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans."
Caras vemos,['Comedy'],2024-08-22,0,0,0,Beto Gómez,322.537,6.9,7,"It follows an unconventional family who find themselves embroiled in a personality swap after little Zoe has a mystical encounter with an ancient god. As a result, each family member finds themselves in the body of another."
Harold and the Purple Crayon,"['Family', 'Adventure', 'Fantasy', 'Comedy']",2024-07-31,90,40000000,24982787,Crockett Johnson,320.267,7.037,178,"Inside of his book, adventurous Harold can make anything come to life simply by drawing it. After he grows up and draws himself off the book's pages and into the physical world, Harold finds he has a lot to learn about real life."
The Maze Runner,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",2014-09-10,113,34000000,348319861,Greg Dela Riva,318.427,7.188,16922,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape."
A Quiet Place: Day One,"['Horror', 'Science Fiction', 'Thriller']",2024-06-26,99,67000000,260894737,Michael Bay,315.413,6.794,2062,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat."
xXx,"['Action', 'Adventure', 'Thriller', 'Crime']",2002-08-09,124,70000000,277448382,Rich Wilkes,314.323,5.934,4239,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi."
Migration,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",2023-12-06,83,72000000,298776052,Chris Meledandri,313.645,7.436,1776,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica."
The Family Plan,"['Action', 'Comedy']",2023-12-14,118,0,0,Joe Bucaro III,311.68,7.267,1354,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other."
Twisters,"['Thriller', 'Action']",2024-07-10,123,155000000,369590675,Ashley Nicole Hudson,307.725,6.951,1685,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives."
