title,genres,release_date,runtime,budget,revenue,director,popularity,vote_average,vote_count,overview
Blockers,['Comedy'],2018-03-14,102,21000000,94017294,Kay Cannon,19.943,6.302,1966,"When three parents discover that each of their daughters have a pact to lose their virginity at prom, they launch a covert one-night operation to stop the teens from sealing the deal."
Diary of a Wimpy Kid,"['Animation', 'Comedy', 'Family']",2021-12-02,58,0,0,Jeff Kinney,19.942,6.2,346,Greg Heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous – he just has to survive middle school first.
Jules,"['Comedy', 'Science Fiction', 'Drama']",2023-08-10,87,0,2000000,Roberto Fernández,19.941,7.197,249,"A flying saucer lands in the backyard of an elderly suburbanite with memory problems, who forms a bond with the scared alien inside."
Vacation of Terror,"['Horror', 'Thriller', 'Fantasy']",1989-05-11,90,0,0,René Cardona III,19.939,7.2,62,"After inheriting a new summer home from a deceased relative, Fernando brings his family along for a vacation. They quickly discover strange happenings on the property, but when young daughter Gaby falls into a well and returns with an old doll, things take a turn for the horrific."
Dangerous Liaisons,"['Drama', 'Romance']",1988-12-21,119,14000000,34670720,Christopher Hampton,19.934,7.2,1139,"In 18th century France, Marquise de Merteuil asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things don’t go as planned."
Infinite Storm,"['Thriller', 'Adventure', 'Drama', 'Mystery']",2022-03-25,97,4749917,1707067,Małgorzata Szumowska,19.932,5.7,278,One woman's journey for self-discovery and turns into a harrowing tale of survival.
Los verduleros,['Comedy'],1986-02-07,0,0,0,Lourdes Álvarez,19.925,7.3,160,"The adventures of two friends, one a chicken vendor in a market and the other a policeman. They have love affairs and capture criminals."
Ong Bak 3,"['Action', 'Adventure', 'History']",2010-05-05,95,0,2340363,Terdsak Janpan,19.921,6.0,423,"Tien is captured and almost beaten to death before he is saved and brought back to the Kana Khone villagers. There he is taught meditation and how to deal with his Karma, but very soon his arch rival returns challenging Tien for a final duel."
Five Blind Dates,"['Comedy', 'Romance']",2024-02-12,84,0,0,Shuang Hu,19.915,5.5,79,"More focused on her business than finding love, Lia is forced to go on five blind dates set up by her family and best friend after she is told by a fortune teller that her love life and the success of her tea shop are intertwined."
Ruby Red,"['Fantasy', 'Drama', 'Romance']",2013-03-14,122,0,5524381,Felix Fuchssteiner,19.913,7.0,1099,"On her 16th birthday, Gwendolyn Shepherd finds out that instead of her cousin, she has inherited a rare gene that allows her to travel through time."
A Monster in Paris,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",2011-10-12,90,25000000,26611650,Stéphane Kazandjian,19.909,6.9,1240,"Paris, 1910. Emile, a shy movie projectionist, and Raoul, a colourful inventor, find themselves embarked on the hunt for a monster terrorizing citizens. They join forces with Lucille, the big-hearted star of the Bird of Paradise cabaret, an eccentric scientist and his irascible monkey to save the monster, who turns out to be an oversized but harmless flea, from the city's ruthlessly ambitious police chief."
Van Wilder: Freshman Year,"['Comedy', 'Romance']",2009-06-02,100,6000000,20543,Harvey Glazer,19.906,5.408,325,"It is freshman year at Coolidge College and Van Wilder is ready to party. To his dismay, all the girls have taken a vow of chastity and the dean rules the school. Van embarks on a crusade to land the campus hottie, Kaitlin, and liberate his school from sexual oppression and party dysfunction."
Just Like Heaven,"['Drama', 'Comedy', 'Romance', 'Fantasy']",2005-09-16,95,58000000,102900000,Daryn Okada,19.898,7.0,2309,"Shortly after David Abbott moves into his new San Francisco digs, he has an unwelcome visitor on his hands: winsome Elizabeth Masterson, who asserts that the apartment is hers -- and promptly vanishes. When she starts appearing and disappearing at will, David thinks she's a ghost, while Elizabeth is convinced she's alive."
Code Geass: Lelouch of the Rebellion – Glorification,"['Science Fiction', 'Animation', 'Drama', 'Action']",2018-05-01,140,0,620280,Goro Taniguchi,19.89,7.4,22,"This is the third and final part of a 3-part theatrical film compilation of the ""Code Geass: Lelouch of the Rebellion"" TV anime."
Midnight Party,"['Drama', 'Comedy', 'Crime']",1976-01-23,91,0,0,Jesús Franco,19.887,5.2,13,"Sylvia, a stripper, attends a party where the theme is a mock spy adventure. Unfortunately, she soon finds herself thrust in a real espionage adventure. There are these two playboys that invite her to their midnight orgy. Later, her communist rock star lover shows up in her dressing room and starts shouting anti-capitalist rhetoric. In the mean time, her hypochondriac husband keeps loosing money in poker games. And in between, she talks directly into the camera, trying to entertain us."
Gabriel's Redemption: Part I,"['Drama', 'Romance']",2023-06-22,110,0,0,Tosca Musk,19.886,6.9,77,"After leaving his prestigious post at the University of Toronto, Gabriel embarks on a new journey with Julia, and he is eager to become a father.  However, Gabriel's idyllic vision is jeopardized when Julia's intensive program becomes all consuming. When Julia is granted a prestigious opportunity to deliver an academic lecture at Oxford, Gabriel challenges her about the subject of her presentation, which clashes with his own research.  In Oxford, their past resurfaces, including an old nemesis determined to humiliate Julia and expose one of Gabriel's well-guarded secrets. Emotions run high, alliances are tested, and the couple must confront the shadows of their shared history in a battle for love, truth, and redemption."
Ooru Peru Bhairavakona,"['Fantasy', 'Comedy', 'Horror']",2024-02-16,133,0,0,Balaji Gutta,19.886,6.2,4,"A man goes in search of some urgently required answers to the world of Bhairavakona, from which there's seemingly no way out."
"The Good, the Bart, and the Loki","['Animation', 'Comedy', 'Family']",2021-07-07,6,0,0,David Silverman,19.886,7.263,659,Loki is banished from Asgard once again and must face his toughest opponents yet: the Simpsons and Springfield’s mightiest heroes. The God of Mischief teams up with Bart Simpson in the ultimate crossover event paying tribute to the Marvel Cinematic Universe of superheroes and villains.
The Kiss,"['Drama', 'Romance']",2022-10-15,116,0,0,Bille August,19.883,6.6,21,"A romantic drama set in Denmark in 1913, the story follows Anton, a noble and conscientious young man whose top priority is to complete his training as a cavalry officer. During a training session, he orders his platoon to help Baron von Løvenskjold and finds himself invited to a ball at the castle, where he meets the baron’s beautiful daughter Edith who has been in an accident and ended up in a wheelchair."
